Env_ID,Date,Site_ID,Rainfall_mm,Temp_Min_C,Temp_Max_C,Tidal_Level_m,Notes
ENV-00072,2023-12-11,,0.0,26.5,35.6,1.08,
ENV-00073,2023-12-12,,0.0,20.1,27.7,1.26,
ENV-00074,2023-12-13,,0.0,24.4,32.5,1.43,
ENV-00075,2023-12-14,,0.0,26.0,34.2,1.45,
ENV-00076,2023-12-15,,0.0,22.8,30.6,1.34,
ENV-00077,2023-12-16,,0.0,23.6,31.3,1.04,
ENV-00078,2023-12-17,,0.1,19.6,29.3,0.83,
ENV-00079,2023-12-18,,0.0,21.8,30.1,0.5,
ENV-00080,2023-12-19,,0.0,18.5,27.9,0.32,
ENV-00081,2023-12-20,,0.0,21.8,30.8,0.25,
ENV-00082,2023-12-21,,0.0,23.3,32.7,0.23,
ENV-00083,2023-12-22,,0.0,27.5,35.5,0.29,
ENV-00084,2023-12-23,,0.0,22.0,29.4,0.51,
ENV-00085,2023-12-24,,0.0,22.1,29.7,0.8,
ENV-00086,2023-12-25,,0.0,22.7,30.0,1.03,
ENV-00087,2023-12-26,,0.0,25.5,32.7,1.27,
ENV-00088,2023-12-27,,0.0,23.4,32.2,1.31,
ENV-00089,2023-12-28,,0.0,26.4,34.4,1.4,
ENV-00090,2023-12-29,,0.0,17.0,26.9,1.22,
ENV-00091,2023-12-30,,0.0,24.2,33.2,1.02,
ENV-00092,2023-12-31,,0.0,22.4,32.3,0.81,
ENV-00093,2024-01-01,,0.0,26.5,35.5,0.46,
ENV-00094,2024-01-02,,0.0,20.2,29.3,0.37,
ENV-00095,2024-01-03,,0.0,22.4,32.3,0.19,
ENV-00096,2024-01-04,,0.0,26.2,34.4,0.24,
ENV-00097,2024-01-05,,0.0,27.3,33.4,0.36,
ENV-00098,2024-01-06,,0.0,21.2,29.9,0.56,
ENV-00099,2024-01-07,,0.0,21.4,30.3,0.81,
ENV-00100,2024-01-08,,0.0,22.2,30.7,1.06,
ENV-00101,2024-01-09,,4.2,23.8,32.5,1.25,
ENV-00102,2024-01-10,,0.0,27.8,34.7,1.47,
ENV-00103,2024-01-11,,0.0,29.9,37.1,1.37,
ENV-00104,2024-01-12,,0.0,21.9,31.4,1.3,
ENV-00105,2024-01-13,,0.0,19.8,29.0,1.07,
ENV-00106,2024-01-14,,0.0,24.8,31.3,0.71,
ENV-00107,2024-01-15,,0.0,22.7,32.3,0.53,
ENV-00108,2024-01-16,,0.0,29.1,35.3,0.29,
ENV-00109,2024-01-17,,0.0,25.0,32.3,0.13,
ENV-00110,2024-01-18,,1.3,23.8,31.9,0.13,
ENV-00111,2024-01-19,,0.0,19.1,28.7,0.2,
ENV-00112,2024-01-20,,0.0,24.9,33.5,0.58,
ENV-00113,2024-01-21,,0.0,23.1,32.6,0.82,
ENV-00114,2024-01-22,,0.0,23.8,31.6,1.12,
ENV-00115,2024-01-23,,0.0,21.6,30.9,1.25,
ENV-00116,2024-01-24,,2.3,22.7,30.9,1.36,
ENV-00117,2024-01-25,,13.8,24.8,32.5,1.35,
ENV-00118,2024-01-26,,0.0,20.9,27.2,1.26,
ENV-00119,2024-01-27,,0.0,27.8,34.0,1.11,
ENV-00120,2024-01-28,,0.0,23.0,29.8,0.79,
ENV-00121,2024-01-29,,1.4,27.0,33.0,0.54,
ENV-00122,2024-01-30,,0.0,23.3,31.3,0.37,
ENV-00123,2024-01-31,,0.0,21.6,31.0,0.1,
ENV-00124,2024-02-01,,4.8,19.9,28.6,0.25,
ENV-00125,2024-02-02,,0.0,21.5,29.3,0.33,
ENV-00126,2024-02-03,,0.0,26.1,32.7,0.55,
ENV-00127,2024-02-04,,1.0,26.9,33.1,0.85,
ENV-00128,2024-02-05,,0.0,25.5,33.8,1.07,
ENV-00129,2024-02-06,,7.2,24.8,33.3,1.22,
ENV-00130,2024-02-07,,0.0,21.7,31.4,1.49,
ENV-00131,2024-02-08,,0.0,27.4,34.9,1.43,
ENV-00132,2024-02-09,,0.0,24.1,32.5,1.31,
ENV-00133,2024-02-10,,0.0,26.3,32.5,1.06,
ENV-00134,2024-02-11,,0.0,21.1,30.0,0.89,
ENV-00135,2024-02-12,,0.0,24.2,33.8,0.54,
ENV-00136,2024-02-13,,0.0,22.6,31.4,0.27,
ENV-00137,2024-02-14,,0.0,24.8,30.8,0.26,
ENV-00138,2024-02-15,,0.0,21.3,30.9,0.2,
ENV-00139,2024-02-16,,1.9,21.5,28.6,0.36,
ENV-00140,2024-02-17,,1.2,22.2,31.5,0.59,
ENV-00141,2024-02-18,,0.0,25.7,32.7,0.75,
ENV-00142,2024-02-19,,0.0,22.6,31.3,1.12,
ENV-00143,2024-02-20,,0.0,20.3,30.2,1.28,
ENV-00144,2024-02-21,,0.0,20.8,30.0,1.36,
ENV-00145,2024-02-22,,0.0,19.5,29.1,1.4,
ENV-00146,2024-02-23,,0.0,21.0,30.8,1.21,
ENV-00147,2024-02-24,,0.0,17.0,25.9,1.06,
ENV-00148,2024-02-25,,0.0,20.9,29.9,0.82,
ENV-00149,2024-02-26,,0.0,26.7,33.1,0.5,
ENV-00150,2024-02-27,,0.0,21.7,28.1,0.31,
ENV-00151,2024-02-28,,0.0,26.1,33.6,0.21,
ENV-00152,2024-02-29,,0.0,22.7,30.0,0.26,
ENV-00153,2024-03-01,,0.0,19.8,28.2,0.31,
ENV-00154,2024-03-02,,0.0,23.8,31.3,0.54,
ENV-00155,2024-03-03,,0.0,21.4,30.1,0.83,
ENV-00156,2024-03-04,,0.0,21.0,27.4,1.06,
ENV-00157,2024-03-05,,0.0,21.0,27.8,1.24,
ENV-00158,2024-03-06,,0.0,22.8,29.0,1.42,
ENV-00159,2024-03-07,,0.9,21.2,29.1,1.37,
ENV-00160,2024-03-08,,0.0,19.2,28.7,1.32,
ENV-00161,2024-03-09,,0.0,16.8,26.6,1.12,
ENV-00162,2024-03-10,,0.0,21.4,27.8,0.76,
ENV-00163,2024-03-11,,0.0,20.8,27.5,0.59,
ENV-00164,2024-03-12,,0.8,18.2,27.1,0.35,
ENV-00165,2024-03-13,,1.6,19.5,28.6,0.32,
ENV-00166,2024-03-14,,2.9,21.4,27.8,0.18,
ENV-00167,2024-03-15,,0.6,21.1,28.9,0.39,
ENV-00168,2024-03-16,,1.5,22.7,30.9,0.52,
ENV-00169,2024-03-17,,0.0,16.6,26.1,0.79,
ENV-00170,2024-03-18,,0.0,23.4,31.5,1.05,
ENV-00171,2024-03-19,,0.0,21.3,27.8,1.33,
ENV-00172,2024-03-20,,0.0,24.1,30.8,1.33,
ENV-00173,2024-03-21,,4.0,21.1,27.2,1.43,
ENV-00174,2024-03-22,,0.0,20.4,28.2,1.25,
ENV-00175,2024-03-23,,0.0,17.8,27.8,0.88,
ENV-00176,2024-03-24,,0.0,16.9,23.6,0.74,
ENV-00177,2024-03-25,,0.0,18.1,25.4,0.65,
ENV-00178,2024-03-26,,2.1,17.6,26.7,0.28,
ENV-00179,2024-03-27,,0.0,20.4,26.4,0.2,
ENV-00180,2024-03-28,,0.0,17.2,25.0,0.21,
ENV-00181,2024-03-29,,0.0,17.1,26.8,0.28,
ENV-00182,2024-03-30,,0.0,19.8,28.4,0.56,
ENV-00183,2024-03-31,,0.0,19.6,27.0,0.82,
ENV-00184,2024-04-01,,0.0,19.4,27.2,1.05,
ENV-00185,2024-04-02,,0.0,17.6,24.8,1.36,
ENV-00186,2024-04-03,,0.0,20.7,28.3,1.42,
ENV-00187,2024-04-04,,0.0,16.1,25.8,1.38,
ENV-00188,2024-04-05,,0.0,16.3,23.9,1.27,
ENV-00189,2024-04-06,,0.0,17.2,25.9,1.1,
ENV-00190,2024-04-07,,1.5,18.5,25.8,0.72,
ENV-00191,2024-04-08,,0.3,14.2,22.9,0.52,
ENV-00192,2024-04-09,,0.0,17.3,26.0,0.35,
ENV-00193,2024-04-10,,0.0,17.1,25.9,0.11,
ENV-00194,2024-04-11,,0.0,16.1,24.6,0.27,
ENV-00195,2024-04-12,,0.0,16.0,24.8,0.33,
ENV-00196,2024-04-13,,0.0,18.4,26.2,0.57,
ENV-00197,2024-04-14,,0.0,14.0,22.2,0.81,
ENV-00198,2024-04-15,,0.0,15.4,22.4,1.09,
ENV-00199,2024-04-16,,0.0,12.0,21.9,1.26,
ENV-00200,2024-04-17,,0.0,15.9,23.9,1.46,
ENV-00201,2024-04-18,,2.2,16.6,23.8,1.38,
ENV-00202,2024-04-19,,0.0,17.0,26.3,1.24,
ENV-00203,2024-04-20,,0.0,15.7,23.1,1.13,
ENV-00204,2024-04-21,,0.2,13.8,22.9,0.72,
ENV-00205,2024-04-22,,0.0,14.5,21.1,0.68,
ENV-00206,2024-04-23,,0.2,11.7,21.6,0.35,
ENV-00207,2024-04-24,,0.0,13.2,22.7,0.15,
ENV-00208,2024-04-25,,0.0,12.7,19.4,0.19,
ENV-00209,2024-04-26,,0.0,13.6,22.3,0.3,
ENV-00210,2024-04-27,,0.0,18.2,24.6,0.59,
ENV-00211,2024-04-28,,0.0,16.6,24.5,0.83,
ENV-00212,2024-04-29,,0.0,15.6,23.0,0.99,
ENV-00213,2024-04-30,,0.0,12.7,20.4,1.34,
ENV-00214,2024-05-01,,0.0,13.5,21.5,1.39,
ENV-00215,2024-05-02,,0.1,15.8,22.2,1.34,
ENV-00216,2024-05-03,,0.0,16.9,22.9,1.26,
ENV-00217,2024-05-04,,0.0,13.0,21.6,1.06,
ENV-00218,2024-05-05,,0.0,12.1,21.5,0.79,
ENV-00219,2024-05-06,,0.0,14.3,20.6,0.6,
ENV-00220,2024-05-07,,0.0,13.1,22.1,0.33,
ENV-00221,2024-05-08,,0.0,18.0,25.4,0.22,
ENV-00222,2024-05-09,,0.0,17.0,23.4,0.27,
ENV-00223,2024-05-10,,0.2,12.4,22.4,0.37,
ENV-00224,2024-05-11,,0.0,12.7,22.2,0.42,
ENV-00225,2024-05-12,,0.0,12.3,19.2,0.79,
ENV-00226,2024-05-13,,0.0,10.7,19.0,1.18,
ENV-00227,2024-05-14,,0.0,19.5,25.6,1.17,
ENV-00228,2024-05-15,,0.0,14.1,21.8,1.3,
ENV-00229,2024-05-16,,1.1,12.9,20.5,1.32,
ENV-00230,2024-05-17,,0.0,15.0,23.7,1.2,
ENV-00231,2024-05-18,,0.2,12.8,21.4,1.14,
ENV-00232,2024-05-19,,0.0,14.3,24.0,0.9,
ENV-00233,2024-05-20,,0.0,10.8,19.5,0.47,
ENV-00234,2024-05-21,,1.3,14.3,21.0,0.3,
ENV-00235,2024-05-22,,0.0,14.4,20.6,0.23,
ENV-00236,2024-05-23,,0.0,17.0,23.8,0.18,
ENV-00237,2024-05-24,,2.2,10.3,16.7,0.27,
ENV-00238,2024-05-25,,0.0,15.6,24.6,0.56,
ENV-00239,2024-05-26,,0.0,17.4,23.6,0.84,
ENV-00240,2024-05-27,,0.0,12.5,20.8,1.03,
ENV-00241,2024-05-28,,0.0,11.8,19.8,1.15,
ENV-00242,2024-05-29,,0.0,14.6,22.2,1.39,
ENV-00243,2024-05-30,,0.0,16.4,23.1,1.33,
ENV-00244,2024-05-31,,0.0,17.7,25.4,1.27,
ENV-00245,2024-06-01,,0.0,11.4,21.2,0.98,
ENV-00246,2024-06-02,,0.0,15.7,23.9,0.82,
ENV-00247,2024-06-03,,0.0,13.3,20.5,0.54,
ENV-00248,2024-06-04,,0.0,18.8,25.5,0.34,
ENV-00249,2024-06-05,,0.0,15.3,23.6,0.21,
ENV-00250,2024-06-06,,0.0,10.6,20.3,0.24,
ENV-00251,2024-06-07,,0.0,15.3,25.1,0.35,
ENV-00252,2024-06-08,,0.0,14.7,20.8,0.56,
ENV-00253,2024-06-09,,0.0,12.6,21.6,0.7,
ENV-00254,2024-06-10,,0.0,17.6,23.6,0.99,
ENV-00255,2024-06-11,,0.0,14.5,22.0,1.28,
ENV-00256,2024-06-12,,0.0,12.0,21.1,1.4,
ENV-00257,2024-06-13,,0.0,13.8,23.7,1.33,
ENV-00258,2024-06-14,,0.0,10.6,20.1,1.14,
ENV-00259,2024-06-15,,0.0,15.3,23.2,0.94,
ENV-00260,2024-06-16,,0.0,12.3,20.0,0.78,
ENV-00261,2024-06-17,,0.0,10.5,19.6,0.56,
ENV-00262,2024-06-18,,0.0,13.6,23.1,0.26,
ENV-00263,2024-06-19,,0.0,17.7,24.4,0.21,
ENV-00264,2024-06-20,,0.0,12.7,18.9,0.23,
ENV-00265,2024-06-21,,0.1,12.3,18.8,0.28,
ENV-00266,2024-06-22,,0.0,16.1,23.8,0.63,
ENV-00267,2024-06-23,,0.0,14.3,22.9,0.79,
ENV-00268,2024-06-24,,4.4,12.7,20.4,1.01,
ENV-00269,2024-06-25,,0.0,20.5,26.6,1.31,
ENV-00270,2024-06-26,,0.0,15.6,21.8,1.32,
ENV-00271,2024-06-27,,0.0,13.4,22.7,1.36,
ENV-00272,2024-06-28,,0.0,13.6,21.2,1.31,
ENV-00273,2024-06-29,,0.0,11.3,18.5,1.0,
ENV-00274,2024-06-30,,0.0,15.2,24.7,0.72,
ENV-00275,2024-07-01,,0.0,14.3,23.7,0.54,
ENV-00276,2024-07-02,,0.0,14.5,22.7,0.35,
ENV-00277,2024-07-03,,0.0,16.1,24.9,0.2,
ENV-00278,2024-07-04,,0.0,14.2,21.7,0.28,
ENV-00279,2024-07-05,,0.0,10.7,19.8,0.3,
ENV-00280,2024-07-06,,0.0,18.8,25.0,0.63,
ENV-00281,2024-07-07,,0.0,15.1,23.2,0.73,
ENV-00282,2024-07-08,,0.0,18.2,24.4,1.03,
ENV-00283,2024-07-09,,0.0,13.7,23.4,1.27,
ENV-00284,2024-07-10,,0.0,13.8,23.0,1.31,
ENV-00285,2024-07-11,,0.0,17.1,24.5,1.43,
ENV-00286,2024-07-12,,0.0,16.4,23.9,1.26,
ENV-00287,2024-07-13,,0.0,15.5,22.8,1.01,
ENV-00288,2024-07-14,,0.0,16.7,23.6,0.84,
ENV-00289,2024-07-15,,3.6,14.7,21.5,0.55,
ENV-00290,2024-07-16,,0.0,14.1,21.8,0.27,
ENV-00291,2024-07-17,,4.9,16.6,24.2,0.29,
ENV-00292,2024-07-18,,0.0,15.5,21.7,0.29,
ENV-00293,2024-07-19,,0.0,13.5,21.4,0.33,
ENV-00294,2024-07-20,,0.0,13.5,21.2,0.65,
ENV-00295,2024-07-21,,0.0,14.8,22.2,0.85,
ENV-00296,2024-07-22,,0.0,13.1,20.6,1.11,
ENV-00297,2024-07-23,,0.0,13.1,22.1,1.2,
ENV-00298,2024-07-24,,0.7,11.9,18.5,1.27,
ENV-00299,2024-07-25,,2.1,14.5,21.6,1.37,
ENV-00300,2024-07-26,,0.0,18.2,25.4,1.27,
ENV-00301,2024-07-27,,0.0,13.8,22.7,0.99,
ENV-00302,2024-07-28,,0.0,15.6,22.7,0.8,
ENV-00303,2024-07-29,,3.0,11.9,20.8,0.56,
ENV-00304,2024-07-30,,0.0,10.4,19.7,0.3,
ENV-00305,2024-07-31,,0.0,13.3,20.8,0.24,
ENV-00306,2024-08-01,,0.0,8.8,17.8,0.22,
ENV-00307,2024-08-02,,0.0,14.4,22.1,0.23,
ENV-00308,2024-08-03,,0.0,9.6,18.6,0.61,
ENV-00309,2024-08-04,,0.0,11.9,21.4,0.66,
ENV-00310,2024-08-05,,0.0,11.9,21.5,1.11,
ENV-00311,2024-08-06,,0.0,18.3,24.4,1.3,
ENV-00312,2024-08-07,,0.0,14.8,23.1,1.33,
ENV-00313,2024-08-08,,0.0,19.1,26.0,1.3,
ENV-00314,2024-08-09,,0.0,10.6,20.1,1.31,
ENV-00315,2024-08-10,,0.0,15.4,22.5,1.05,
ENV-00316,2024-08-11,,0.0,10.2,18.4,0.72,
ENV-00317,2024-08-12,,0.0,10.8,20.6,0.47,
ENV-00318,2024-08-13,,0.0,14.0,20.7,0.32,
ENV-00319,2024-08-14,,0.0,14.7,21.2,0.16,
ENV-00320,2024-08-15,,0.0,13.0,20.1,0.22,
ENV-00321,2024-08-16,,0.0,15.7,23.5,0.35,
ENV-00322,2024-08-17,,0.0,12.6,22.0,0.59,
ENV-00323,2024-08-18,,0.4,11.4,17.6,0.83,
ENV-00324,2024-08-19,,0.0,13.0,20.6,0.94,
ENV-00325,2024-08-20,,0.0,17.1,23.9,1.2,
ENV-00326,2024-08-21,,0.0,10.6,19.2,1.4,
ENV-00327,2024-08-22,,0.0,15.3,22.9,1.46,
ENV-00328,2024-08-23,,1.9,10.8,19.9,1.2,
ENV-00329,2024-08-24,,3.3,13.5,21.4,1.05,
ENV-00330,2024-08-25,,0.0,14.2,21.2,0.8,
ENV-00331,2024-08-26,,9.0,13.0,20.6,0.56,
ENV-00332,2024-08-27,,0.0,13.8,20.5,0.37,
ENV-00333,2024-08-28,,0.0,14.7,24.4,0.1,
ENV-00334,2024-08-29,,0.0,19.0,25.2,0.15,
ENV-00335,2024-08-30,,0.6,11.3,20.3,0.39,
ENV-00336,2024-08-31,,0.0,10.7,18.5,0.53,
ENV-00337,2024-09-01,,0.0,9.8,19.1,0.78,
ENV-00338,2024-09-02,,0.0,16.3,23.3,1.05,
ENV-00339,2024-09-03,,0.0,16.8,24.3,1.24,
ENV-00340,2024-09-04,,0.0,15.6,24.5,1.37,
ENV-00341,2024-09-05,,0.0,9.7,18.9,1.42,
ENV-00342,2024-09-06,,0.0,12.3,22.3,1.26,
ENV-00343,2024-09-07,,0.0,15.7,25.6,1.06,
ENV-00344,2024-09-08,,0.0,13.4,22.6,0.72,
ENV-00345,2024-09-09,,0.0,15.1,22.3,0.46,
ENV-00346,2024-09-10,,0.0,15.3,24.0,0.32,
ENV-00347,2024-09-11,,0.0,10.2,19.0,0.28,
ENV-00348,2024-09-12,,0.0,13.3,20.7,0.23,
ENV-00349,2024-09-13,,0.2,11.9,21.7,0.32,
ENV-00350,2024-09-14,,0.0,10.3,19.2,0.48,
ENV-00351,2024-09-15,,0.0,13.7,22.8,0.81,
ENV-00352,2024-09-16,,0.0,10.9,19.7,0.94,
ENV-00353,2024-09-17,,0.0,14.6,22.5,1.28,
ENV-00354,2024-09-18,,0.0,14.5,24.0,1.27,
ENV-00355,2024-09-19,,0.0,16.7,23.3,1.39,
ENV-00356,2024-09-20,,0.1,13.5,20.8,1.32,
ENV-00357,2024-09-21,,0.0,12.9,19.2,1.12,
ENV-00358,2024-09-22,,0.0,12.9,22.2,0.8,
ENV-00359,2024-09-23,,0.0,12.5,22.1,0.53,
ENV-00360,2024-09-24,,0.0,11.3,19.1,0.26,
ENV-00361,2024-09-25,,0.5,12.4,21.6,0.29,
ENV-00362,2024-09-26,,0.0,15.7,23.0,0.18,
ENV-00363,2024-09-27,,0.0,11.8,20.8,0.38,
ENV-00364,2024-09-28,,1.5,10.8,20.5,0.59,
ENV-00365,2024-09-29,,0.0,14.8,23.3,0.75,
ENV-00366,2024-09-30,,0.0,13.4,22.1,1.03,
ENV-00367,2024-10-01,,0.0,12.1,19.9,1.21,
ENV-00368,2024-10-02,,0.0,16.1,23.8,1.36,
ENV-00369,2024-10-03,,0.0,14.6,22.4,1.44,
ENV-00370,2024-10-04,,0.0,15.1,23.0,1.21,
ENV-00371,2024-10-05,,0.0,19.2,25.5,0.94,
ENV-00372,2024-10-06,,0.0,12.8,20.8,0.86,
ENV-00373,2024-10-07,,0.0,13.0,19.7,0.54,
ENV-00374,2024-10-08,,0.0,14.5,23.6,0.31,
ENV-00375,2024-10-09,,0.0,15.9,22.5,0.19,
ENV-00376,2024-10-10,,0.0,16.0,23.3,0.19,
ENV-00377,2024-10-11,,0.0,16.8,23.7,0.33,
ENV-00378,2024-10-12,,0.0,14.3,23.7,0.44,
ENV-00379,2024-10-13,,3.3,17.3,24.3,0.83,
ENV-00380,2024-10-14,,0.0,17.7,25.8,0.95,
ENV-00381,2024-10-15,,0.0,18.8,25.6,1.23,
ENV-00382,2024-10-16,,0.0,17.8,25.6,1.34,
ENV-00383,2024-10-17,,0.0,14.7,23.9,1.41,
ENV-00384,2024-10-18,,0.0,17.7,25.7,1.26,
ENV-00385,2024-10-19,,0.0,20.3,27.6,1.06,
ENV-00386,2024-10-20,,0.0,17.2,26.6,0.7,
ENV-00387,2024-10-21,,0.1,16.8,25.0,0.51,
ENV-00388,2024-10-22,,0.0,18.5,25.6,0.3,
ENV-00389,2024-10-23,,1.9,15.5,24.9,0.25,
ENV-00390,2024-10-24,,0.0,16.9,23.2,0.23,
ENV-00391,2024-10-25,,0.0,19.1,25.8,0.31,
ENV-00392,2024-10-26,,0.0,19.3,26.1,0.51,
ENV-00393,2024-10-27,,0.0,13.6,23.4,0.84,
ENV-00394,2024-10-28,,0.0,22.1,29.5,1.13,
ENV-00395,2024-10-29,,0.0,19.1,25.2,1.28,
ENV-00396,2024-10-30,,0.0,15.0,24.1,1.41,
ENV-00397,2024-10-31,,0.0,20.5,28.4,1.28,
ENV-00398,2024-11-01,,0.0,19.0,25.9,1.29,
ENV-00399,2024-11-02,,0.0,16.4,25.7,1.11,
ENV-00400,2024-11-03,,0.0,21.9,27.9,0.74,
ENV-00401,2024-11-04,,0.0,17.9,26.9,0.56,
ENV-00402,2024-11-05,,0.6,17.2,25.4,0.39,
ENV-00403,2024-11-06,,0.0,13.4,21.0,0.2,
ENV-00404,2024-11-07,,0.0,18.0,24.3,0.12,
ENV-00405,2024-11-08,,0.0,21.6,29.6,0.3,
ENV-00406,2024-11-09,,0.0,18.0,25.5,0.52,
ENV-00407,2024-11-10,,0.0,17.0,25.9,0.8,
ENV-00408,2024-11-11,,0.0,18.5,25.4,1.0,
ENV-00409,2024-11-12,,0.0,19.3,28.1,1.25,
ENV-00410,2024-11-13,,0.0,15.7,24.4,1.34,
ENV-00411,2024-11-14,,0.1,23.1,32.1,1.35,
ENV-00412,2024-11-15,,0.0,19.3,28.7,1.21,
ENV-00413,2024-11-16,,0.0,21.3,27.8,1.03,
ENV-00414,2024-11-17,,0.0,21.3,27.9,0.82,
ENV-00415,2024-11-18,,0.0,22.5,29.1,0.58,
ENV-00416,2024-11-19,,1.4,21.1,28.2,0.26,
ENV-00417,2024-11-20,,0.5,23.9,30.3,0.24,
ENV-00418,2024-11-21,,0.0,20.0,29.3,0.2,
ENV-00419,2024-11-22,,0.0,21.4,27.4,0.29,
ENV-00420,2024-11-23,,0.0,21.1,27.5,0.57,
ENV-00421,2024-11-24,,0.0,21.3,29.7,0.82,
ENV-00422,2024-11-25,,0.0,21.4,29.9,1.17,
ENV-00423,2024-11-26,,0.0,20.7,28.5,1.28,
ENV-00424,2024-11-27,,3.4,16.8,26.7,1.44,
ENV-00425,2024-11-28,,0.0,23.0,30.9,1.42,
ENV-00426,2024-11-29,,2.8,19.9,29.7,1.24,
ENV-00427,2024-11-30,,0.0,21.3,31.0,1.02,
ENV-00428,2024-12-01,,0.0,22.2,30.2,0.73,
ENV-00429,2024-12-02,,0.0,21.7,31.1,0.52,
ENV-00430,2024-12-03,,0.0,26.0,32.7,0.31,
ENV-00431,2024-12-04,,0.0,23.6,30.4,0.26,
ENV-00432,2024-12-05,,0.0,21.2,28.3,0.25,
ENV-00433,2024-12-06,,0.0,26.3,34.2,0.28,
ENV-00434,2024-12-07,,0.0,24.9,31.7,0.48,
