Event_ID,Trap_ID,Site_ID,Season,Deployment_DateTime,Retrieval_DateTime,Trap_Type,Trap_Status,Sample_Validity,Officer,Notes,Created_By,Created_Date
EVT-00043,TRP-002,ST-002,2023-24,2023-12-24 00:00,2023-12-26 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2023-12-26
EVT-00044,TRP-002,ST-002,2023-24,2023-12-31 00:00,2024-01-02 00:00,BG-Sentinel,Successful,Valid,J. Nguyen,,data_generator,2024-01-02
EVT-00045,TRP-002,ST-002,2023-24,2024-01-07 00:00,2024-01-09 00:00,BG-Sentinel,Partial,Valid,M. Ahmed,,data_generator,2024-01-09
EVT-00046,TRP-002,ST-002,2023-24,2024-01-14 00:00,2024-01-16 00:00,BG-Sentinel,Successful,Valid,K. Wallace,,data_generator,2024-01-16
EVT-00047,TRP-002,ST-002,2023-24,2024-01-21 00:00,2024-01-23 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2024-01-23
EVT-00048,TRP-002,ST-002,2023-24,2024-01-28 00:00,2024-01-30 00:00,BG-Sentinel,Successful,Valid,R. Patel,,data_generator,2024-01-30
EVT-00049,TRP-002,ST-002,2023-24,2024-02-04 00:00,2024-02-06 00:00,BG-Sentinel,Successful,Valid,R. Patel,,data_generator,2024-02-06
EVT-00050,TRP-002,ST-002,2023-24,2024-02-11 00:00,2024-02-13 00:00,BG-Sentinel,Successful,Valid,T. Singh,,data_generator,2024-02-13
EVT-00051,TRP-002,ST-002,2023-24,2024-02-18 00:00,2024-02-20 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2024-02-20
EVT-00052,TRP-002,ST-002,2023-24,2024-02-25 00:00,2024-02-27 00:00,BG-Sentinel,Successful,Valid,J. Nguyen,,data_generator,2024-02-27
EVT-00053,TRP-002,ST-002,2023-24,2024-03-03 00:00,2024-03-05 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2024-03-05
EVT-00054,TRP-002,ST-002,2023-24,2024-03-10 00:00,2024-03-12 00:00,BG-Sentinel,Successful,Valid,K. Wallace,,data_generator,2024-03-12
EVT-00055,TRP-002,ST-002,2023-24,2024-03-17 00:00,2024-03-19 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2024-03-19
EVT-00056,TRP-002,ST-002,2023-24,2024-03-24 00:00,2024-03-26 00:00,BG-Sentinel,Successful,Valid,K. Wallace,,data_generator,2024-03-26
EVT-00057,TRP-002,ST-002,2023-24,2024-03-31 00:00,2024-04-02 00:00,BG-Sentinel,Partial,Valid,R. Patel,,data_generator,2024-04-02
EVT-00058,TRP-002,ST-002,2023-24,2024-04-07 00:00,2024-04-09 00:00,BG-Sentinel,Missing,N/A,K. Wallace,,data_generator,2024-04-09
EVT-00059,TRP-002,ST-002,2023-24,2024-04-14 00:00,2024-04-16 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2024-04-16
EVT-00060,TRP-002,ST-002,2023-24,2024-04-21 00:00,2024-04-23 00:00,BG-Sentinel,Successful,Valid,K. Wallace,,data_generator,2024-04-23
EVT-00061,TRP-003,ST-003,2023-24,2023-10-01 00:00,2023-10-03 00:00,EVS (CO2-baited),Successful,Valid,K. Wallace,,data_generator,2023-10-03
EVT-00062,TRP-003,ST-003,2023-24,2023-10-08 00:00,2023-10-10 00:00,EVS (CO2-baited),Successful,Valid,J. Nguyen,,data_generator,2023-10-10
EVT-00063,TRP-003,ST-003,2023-24,2023-10-15 00:00,2023-10-17 00:00,EVS (CO2-baited),Successful,Valid,M. Ahmed,,data_generator,2023-10-17
EVT-00064,TRP-003,ST-003,2023-24,2023-10-22 00:00,2023-10-24 00:00,EVS (CO2-baited),Successful,Valid,R. Patel,,data_generator,2023-10-24
EVT-00065,TRP-003,ST-003,2023-24,2023-10-29 00:00,2023-10-31 00:00,EVS (CO2-baited),Missing,N/A,S. O'Connell,,data_generator,2023-10-31
EVT-00066,TRP-003,ST-003,2023-24,2023-11-05 00:00,2023-11-07 00:00,EVS (CO2-baited),Successful,Valid,T. Singh,,data_generator,2023-11-07
EVT-00067,TRP-003,ST-003,2023-24,2023-11-12 00:00,2023-11-14 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2023-11-14
EVT-00068,TRP-003,ST-003,2023-24,2023-11-19 00:00,2023-11-21 00:00,EVS (CO2-baited),Successful,Valid,R. Patel,,data_generator,2023-11-21
EVT-00069,TRP-003,ST-003,2023-24,2023-11-26 00:00,2023-11-28 00:00,EVS (CO2-baited),Successful,Valid,T. Singh,,data_generator,2023-11-28
EVT-00070,TRP-003,ST-003,2023-24,2023-12-03 00:00,2023-12-05 00:00,EVS (CO2-baited),Successful,Valid,J. Nguyen,,data_generator,2023-12-05
EVT-00071,TRP-003,ST-003,2023-24,2023-12-10 00:00,2023-12-12 00:00,EVS (CO2-baited),Successful,Valid,K. Wallace,,data_generator,2023-12-12
EVT-00072,TRP-003,ST-003,2023-24,2023-12-17 00:00,2023-12-19 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2023-12-19
EVT-00073,TRP-003,ST-003,2023-24,2023-12-24 00:00,2023-12-26 00:00,EVS (CO2-baited),Successful,Valid,R. Patel,,data_generator,2023-12-26
EVT-00074,TRP-003,ST-003,2023-24,2023-12-31 00:00,2024-01-02 00:00,EVS (CO2-baited),Successful,Valid,R. Patel,,data_generator,2024-01-02
EVT-00075,TRP-003,ST-003,2023-24,2024-01-07 00:00,2024-01-09 00:00,EVS (CO2-baited),Partial,Valid,S. O'Connell,,data_generator,2024-01-09
EVT-00076,TRP-003,ST-003,2023-24,2024-01-14 00:00,2024-01-16 00:00,EVS (CO2-baited),Successful,Valid,M. Ahmed,,data_generator,2024-01-16
EVT-00077,TRP-003,ST-003,2023-24,2024-01-21 00:00,2024-01-23 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2024-01-23
EVT-00078,TRP-003,ST-003,2023-24,2024-01-28 00:00,2024-01-30 00:00,EVS (CO2-baited),Successful,Valid,T. Singh,,data_generator,2024-01-30
EVT-00079,TRP-003,ST-003,2023-24,2024-02-04 00:00,2024-02-06 00:00,EVS (CO2-baited),Successful,Valid,T. Singh,,data_generator,2024-02-06
EVT-00080,TRP-003,ST-003,2023-24,2024-02-11 00:00,2024-02-13 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2024-02-13
EVT-00081,TRP-003,ST-003,2023-24,2024-02-18 00:00,2024-02-20 00:00,EVS (CO2-baited),Failed - Equipment/Battery,Invalid,R. Patel,,data_generator,2024-02-20
EVT-00082,TRP-003,ST-003,2023-24,2024-02-25 00:00,2024-02-27 00:00,EVS (CO2-baited),Successful,Valid,J. Nguyen,,data_generator,2024-02-27
EVT-00083,TRP-003,ST-003,2023-24,2024-03-03 00:00,2024-03-05 00:00,EVS (CO2-baited),Successful,Valid,J. Nguyen,,data_generator,2024-03-05
EVT-00084,TRP-003,ST-003,2023-24,2024-03-10 00:00,2024-03-12 00:00,EVS (CO2-baited),Partial,Valid,M. Ahmed,,data_generator,2024-03-12
EVT-00085,TRP-003,ST-003,2023-24,2024-03-17 00:00,2024-03-19 00:00,EVS (CO2-baited),Successful,Valid,R. Patel,,data_generator,2024-03-19
EVT-00086,TRP-003,ST-003,2023-24,2024-03-24 00:00,2024-03-26 00:00,EVS (CO2-baited),Successful,Valid,M. Ahmed,,data_generator,2024-03-26
EVT-00087,TRP-003,ST-003,2023-24,2024-03-31 00:00,2024-04-02 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2024-04-02
EVT-00088,TRP-003,ST-003,2023-24,2024-04-07 00:00,2024-04-09 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2024-04-09
EVT-00089,TRP-003,ST-003,2023-24,2024-04-14 00:00,2024-04-16 00:00,EVS (CO2-baited),Successful,Valid,J. Nguyen,,data_generator,2024-04-16
EVT-00090,TRP-003,ST-003,2023-24,2024-04-21 00:00,2024-04-23 00:00,EVS (CO2-baited),Successful,Valid,K. Wallace,,data_generator,2024-04-23
EVT-00091,TRP-004,ST-003,2023-24,2023-10-01 00:00,2023-10-03 00:00,BG-Sentinel,Successful,Valid,K. Wallace,,data_generator,2023-10-03
EVT-00092,TRP-004,ST-003,2023-24,2023-10-08 00:00,2023-10-10 00:00,BG-Sentinel,Successful,Valid,K. Wallace,,data_generator,2023-10-10
EVT-00093,TRP-004,ST-003,2023-24,2023-10-15 00:00,2023-10-17 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2023-10-17
EVT-00094,TRP-004,ST-003,2023-24,2023-10-22 00:00,2023-10-24 00:00,BG-Sentinel,Successful,Valid,R. Patel,,data_generator,2023-10-24
EVT-00095,TRP-004,ST-003,2023-24,2023-10-29 00:00,2023-10-31 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2023-10-31
EVT-00096,TRP-004,ST-003,2023-24,2023-11-05 00:00,2023-11-07 00:00,BG-Sentinel,Partial,Valid,J. Nguyen,,data_generator,2023-11-07
EVT-00097,TRP-004,ST-003,2023-24,2023-11-12 00:00,2023-11-14 00:00,BG-Sentinel,Successful,Valid,K. Wallace,,data_generator,2023-11-14
EVT-00098,TRP-004,ST-003,2023-24,2023-11-19 00:00,2023-11-21 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2023-11-21
EVT-00099,TRP-004,ST-003,2023-24,2023-11-26 00:00,2023-11-28 00:00,BG-Sentinel,Successful,Valid,R. Patel,,data_generator,2023-11-28
EVT-00100,TRP-004,ST-003,2023-24,2023-12-03 00:00,2023-12-05 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2023-12-05
EVT-00101,TRP-004,ST-003,2023-24,2023-12-10 00:00,2023-12-12 00:00,BG-Sentinel,Successful,Valid,J. Nguyen,,data_generator,2023-12-12
EVT-00102,TRP-004,ST-003,2023-24,2023-12-17 00:00,2023-12-19 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2023-12-19
EVT-00103,TRP-004,ST-003,2023-24,2023-12-24 00:00,2023-12-26 00:00,BG-Sentinel,Successful,Valid,R. Patel,,data_generator,2023-12-26
EVT-00104,TRP-004,ST-003,2023-24,2023-12-31 00:00,2024-01-02 00:00,BG-Sentinel,Successful,Valid,R. Patel,,data_generator,2024-01-02
EVT-00105,TRP-004,ST-003,2023-24,2024-01-07 00:00,2024-01-09 00:00,BG-Sentinel,Successful,Valid,J. Nguyen,,data_generator,2024-01-09
EVT-00106,TRP-004,ST-003,2023-24,2024-01-14 00:00,2024-01-16 00:00,BG-Sentinel,Successful,Valid,T. Singh,,data_generator,2024-01-16
EVT-00107,TRP-004,ST-003,2023-24,2024-01-21 00:00,2024-01-23 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2024-01-23
EVT-00108,TRP-004,ST-003,2023-24,2024-01-28 00:00,2024-01-30 00:00,BG-Sentinel,Successful,Valid,K. Wallace,,data_generator,2024-01-30
EVT-00109,TRP-004,ST-003,2023-24,2024-02-04 00:00,2024-02-06 00:00,BG-Sentinel,Successful,Valid,R. Patel,,data_generator,2024-02-06
EVT-00110,TRP-004,ST-003,2023-24,2024-02-11 00:00,2024-02-13 00:00,BG-Sentinel,Successful,Valid,T. Singh,,data_generator,2024-02-13
EVT-00111,TRP-004,ST-003,2023-24,2024-02-18 00:00,2024-02-20 00:00,BG-Sentinel,Successful,Valid,K. Wallace,,data_generator,2024-02-20
EVT-00112,TRP-004,ST-003,2023-24,2024-02-25 00:00,2024-02-27 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2024-02-27
EVT-00113,TRP-004,ST-003,2023-24,2024-03-03 00:00,2024-03-05 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2024-03-05
EVT-00114,TRP-004,ST-003,2023-24,2024-03-10 00:00,2024-03-12 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2024-03-12
EVT-00115,TRP-004,ST-003,2023-24,2024-03-17 00:00,2024-03-19 00:00,BG-Sentinel,Successful,Valid,T. Singh,,data_generator,2024-03-19
EVT-00116,TRP-004,ST-003,2023-24,2024-03-24 00:00,2024-03-26 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2024-03-26
EVT-00117,TRP-004,ST-003,2023-24,2024-03-31 00:00,2024-04-02 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2024-04-02
EVT-00118,TRP-004,ST-003,2023-24,2024-04-07 00:00,2024-04-09 00:00,BG-Sentinel,Failed - Equipment/Battery,Invalid,R. Patel,,data_generator,2024-04-09
EVT-00119,TRP-004,ST-003,2023-24,2024-04-14 00:00,2024-04-16 00:00,BG-Sentinel,Successful,Valid,R. Patel,,data_generator,2024-04-16
EVT-00120,TRP-004,ST-003,2023-24,2024-04-21 00:00,2024-04-23 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2024-04-23
EVT-00121,TRP-005,ST-005,2023-24,2023-10-01 00:00,2023-10-03 00:00,EVS (CO2-baited),Successful,Valid,T. Singh,,data_generator,2023-10-03
EVT-00122,TRP-005,ST-005,2023-24,2023-10-08 00:00,2023-10-10 00:00,EVS (CO2-baited),Successful,Valid,R. Patel,,data_generator,2023-10-10
EVT-00123,TRP-005,ST-005,2023-24,2023-10-15 00:00,2023-10-17 00:00,EVS (CO2-baited),Successful,Valid,M. Ahmed,,data_generator,2023-10-17
EVT-00124,TRP-005,ST-005,2023-24,2023-10-22 00:00,2023-10-24 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2023-10-24
EVT-00125,TRP-005,ST-005,2023-24,2023-10-29 00:00,2023-10-31 00:00,EVS (CO2-baited),Failed - Equipment/Battery,Invalid,R. Patel,,data_generator,2023-10-31
EVT-00126,TRP-005,ST-005,2023-24,2023-11-05 00:00,2023-11-07 00:00,EVS (CO2-baited),Successful,Valid,T. Singh,,data_generator,2023-11-07
EVT-00127,TRP-005,ST-005,2023-24,2023-11-12 00:00,2023-11-14 00:00,EVS (CO2-baited),Partial,Valid,R. Patel,,data_generator,2023-11-14
EVT-00128,TRP-005,ST-005,2023-24,2023-11-19 00:00,2023-11-21 00:00,EVS (CO2-baited),Successful,Valid,R. Patel,,data_generator,2023-11-21
EVT-00129,TRP-005,ST-005,2023-24,2023-11-26 00:00,2023-11-28 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2023-11-28
EVT-00130,TRP-005,ST-005,2023-24,2023-12-03 00:00,2023-12-05 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2023-12-05
EVT-00131,TRP-005,ST-005,2023-24,2023-12-10 00:00,2023-12-12 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2023-12-12
EVT-00132,TRP-005,ST-005,2023-24,2023-12-17 00:00,2023-12-19 00:00,EVS (CO2-baited),Successful,Valid,M. Ahmed,,data_generator,2023-12-19
EVT-00133,TRP-005,ST-005,2023-24,2023-12-24 00:00,2023-12-26 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2023-12-26
EVT-00134,TRP-005,ST-005,2023-24,2023-12-31 00:00,2024-01-02 00:00,EVS (CO2-baited),Partial,Valid,K. Wallace,,data_generator,2024-01-02
EVT-00135,TRP-005,ST-005,2023-24,2024-01-07 00:00,2024-01-09 00:00,EVS (CO2-baited),Successful,Valid,M. Ahmed,,data_generator,2024-01-09
EVT-00136,TRP-005,ST-005,2023-24,2024-01-14 00:00,2024-01-16 00:00,EVS (CO2-baited),Failed - Equipment/Battery,Invalid,K. Wallace,,data_generator,2024-01-16
EVT-00137,TRP-005,ST-005,2023-24,2024-01-21 00:00,2024-01-23 00:00,EVS (CO2-baited),Successful,Valid,K. Wallace,,data_generator,2024-01-23
EVT-00138,TRP-005,ST-005,2023-24,2024-01-28 00:00,2024-01-30 00:00,EVS (CO2-baited),Successful,Valid,J. Nguyen,,data_generator,2024-01-30
EVT-00139,TRP-005,ST-005,2023-24,2024-02-04 00:00,2024-02-06 00:00,EVS (CO2-baited),Successful,Valid,R. Patel,,data_generator,2024-02-06
EVT-00140,TRP-005,ST-005,2023-24,2024-02-11 00:00,2024-02-13 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2024-02-13
EVT-00141,TRP-005,ST-005,2023-24,2024-02-18 00:00,2024-02-20 00:00,EVS (CO2-baited),Successful,Valid,K. Wallace,,data_generator,2024-02-20
EVT-00142,TRP-005,ST-005,2023-24,2024-02-25 00:00,2024-02-27 00:00,EVS (CO2-baited),Successful,Valid,M. Ahmed,,data_generator,2024-02-27
EVT-00143,TRP-005,ST-005,2023-24,2024-03-03 00:00,2024-03-05 00:00,EVS (CO2-baited),Successful,Valid,T. Singh,,data_generator,2024-03-05
EVT-00144,TRP-005,ST-005,2023-24,2024-03-10 00:00,2024-03-12 00:00,EVS (CO2-baited),Successful,Valid,J. Nguyen,,data_generator,2024-03-12
EVT-00145,TRP-005,ST-005,2023-24,2024-03-17 00:00,2024-03-19 00:00,EVS (CO2-baited),Successful,Valid,M. Ahmed,,data_generator,2024-03-19
EVT-00146,TRP-005,ST-005,2023-24,2024-03-24 00:00,2024-03-26 00:00,EVS (CO2-baited),Successful,Valid,J. Nguyen,,data_generator,2024-03-26
EVT-00147,TRP-005,ST-005,2023-24,2024-03-31 00:00,2024-04-02 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2024-04-02
EVT-00148,TRP-005,ST-005,2023-24,2024-04-07 00:00,2024-04-09 00:00,EVS (CO2-baited),Successful,Valid,R. Patel,,data_generator,2024-04-09
EVT-00149,TRP-005,ST-005,2023-24,2024-04-14 00:00,2024-04-16 00:00,EVS (CO2-baited),Successful,Valid,R. Patel,,data_generator,2024-04-16
EVT-00150,TRP-005,ST-005,2023-24,2024-04-21 00:00,2024-04-23 00:00,EVS (CO2-baited),Successful,Valid,S. O'Connell,,data_generator,2024-04-23
EVT-00151,TRP-006,ST-006,2023-24,2023-10-01 00:00,2023-10-03 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2023-10-03
EVT-00152,TRP-006,ST-006,2023-24,2023-10-08 00:00,2023-10-10 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2023-10-10
EVT-00153,TRP-006,ST-006,2023-24,2023-10-15 00:00,2023-10-17 00:00,BG-Sentinel,Successful,Valid,J. Nguyen,,data_generator,2023-10-17
EVT-00154,TRP-006,ST-006,2023-24,2023-10-22 00:00,2023-10-24 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2023-10-24
EVT-00155,TRP-006,ST-006,2023-24,2023-10-29 00:00,2023-10-31 00:00,BG-Sentinel,Successful,Valid,M. Ahmed,,data_generator,2023-10-31
EVT-00156,TRP-006,ST-006,2023-24,2023-11-05 00:00,2023-11-07 00:00,BG-Sentinel,Successful,Valid,T. Singh,,data_generator,2023-11-07
EVT-00157,TRP-006,ST-006,2023-24,2023-11-12 00:00,2023-11-14 00:00,BG-Sentinel,Successful,Valid,R. Patel,,data_generator,2023-11-14
EVT-00158,TRP-006,ST-006,2023-24,2023-11-19 00:00,2023-11-21 00:00,BG-Sentinel,Successful,Valid,J. Nguyen,,data_generator,2023-11-21
EVT-00159,TRP-006,ST-006,2023-24,2023-11-26 00:00,2023-11-28 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2023-11-28
EVT-00160,TRP-006,ST-006,2023-24,2023-12-03 00:00,2023-12-05 00:00,BG-Sentinel,Successful,Valid,J. Nguyen,,data_generator,2023-12-05
EVT-00161,TRP-006,ST-006,2023-24,2023-12-10 00:00,2023-12-12 00:00,BG-Sentinel,Missing,N/A,S. O'Connell,,data_generator,2023-12-12
EVT-00162,TRP-006,ST-006,2023-24,2023-12-17 00:00,2023-12-19 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2023-12-19
EVT-00163,TRP-006,ST-006,2023-24,2023-12-24 00:00,2023-12-26 00:00,BG-Sentinel,Successful,Valid,K. Wallace,,data_generator,2023-12-26
EVT-00164,TRP-006,ST-006,2023-24,2023-12-31 00:00,2024-01-02 00:00,BG-Sentinel,Successful,Valid,J. Nguyen,,data_generator,2024-01-02
EVT-00165,TRP-006,ST-006,2023-24,2024-01-07 00:00,2024-01-09 00:00,BG-Sentinel,Successful,Valid,S. O'Connell,,data_generator,2024-01-09
EVT-00166,TRP-006,ST-006,2023-24,2024-01-14 00:00,2024-01-16 00:00,BG-Sentinel,Successful,Valid,K. Wallace,,data_generator,2024-01-16
