Complaint_ID,Date_Received,Season,Site_ID,Approx_Latitude,Approx_Longitude,Category,Description,Investigation_Status,Outcome,Officer,Created_By,Created_Date
CMP-00020,2024-02-09,2023-24,ST-006,-32.16375,115.87005,Standing water on property,Resident-reported mosquito nuisance (sample description).,Under Investigation,Inspection scheduled,R. Patel,data_generator,2024-02-09
CMP-00021,2024-01-06,2023-24,ST-003,-32.04044,116.28409,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,S. O'Connell,data_generator,2024-01-06
CMP-00022,2024-02-23,2023-24,ST-002,-31.61706,116.13503,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,T. Singh,data_generator,2024-02-23
CMP-00023,2024-03-09,2023-24,,-31.9906,115.80077,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,T. Singh,data_generator,2024-03-09
CMP-00024,2024-02-28,2023-24,ST-004,,,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,R. Patel,data_generator,2024-02-28
CMP-00025,2024-02-09,2023-24,ST-021,-31.66399,116.07974,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Received,Inspection scheduled,J. Nguyen,data_generator,2024-02-09
CMP-00026,2024-04-14,2023-24,ST-006,-32.16375,115.87005,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Under Investigation,Inspection scheduled,T. Singh,data_generator,2024-04-14
CMP-00027,2024-01-13,2023-24,ST-002,-31.61706,116.13503,Standing water on property,Resident-reported mosquito nuisance (sample description).,Under Investigation,Inspection scheduled,S. O'Connell,data_generator,2024-01-13
CMP-00028,2024-12-25,2024-25,ST-021,-31.66399,116.07974,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,T. Singh,data_generator,2024-12-25
CMP-00029,2025-02-25,2024-25,ST-006,-32.16375,115.87005,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Under Investigation,Inspection scheduled,M. Ahmed,data_generator,2025-02-25
CMP-00030,2025-01-20,2024-25,ST-002,-31.61706,116.13503,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,J. Nguyen,data_generator,2025-01-20
CMP-00031,2025-01-12,2024-25,ST-022,-31.79818,115.85443,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Site Inspected,Inspection scheduled,S. O'Connell,data_generator,2025-01-12
CMP-00032,2024-11-25,2024-25,ST-002,-31.61706,116.13503,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,J. Nguyen,data_generator,2024-11-25
CMP-00033,2025-01-06,2024-25,,-31.97697,116.02519,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,M. Ahmed,data_generator,2025-01-06
CMP-00034,2024-10-17,2024-25,ST-003,-32.04044,116.28409,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Received,Inspection scheduled,T. Singh,data_generator,2024-10-17
CMP-00035,2024-11-13,2024-25,ST-002,-31.61706,116.13503,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Received,Inspection scheduled,S. O'Connell,data_generator,2024-11-13
CMP-00036,2025-03-27,2024-25,,-31.66465,115.68127,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,S. O'Connell,data_generator,2025-03-27
CMP-00037,2025-02-23,2024-25,ST-007,-31.77867,116.32076,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,K. Wallace,data_generator,2025-02-23
CMP-00038,2025-04-10,2024-25,,-31.94711,115.62529,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,M. Ahmed,data_generator,2025-04-10
CMP-00039,2025-03-29,2024-25,ST-002,-31.61706,116.13503,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,R. Patel,data_generator,2025-03-29
CMP-00040,2025-04-18,2024-25,,-32.01379,115.95669,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,K. Wallace,data_generator,2025-04-18
CMP-00041,2024-10-13,2024-25,,-31.81124,115.88735,Standing water on property,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,J. Nguyen,data_generator,2024-10-13
CMP-00042,2025-03-21,2024-25,,-31.9575,116.23139,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,R. Patel,data_generator,2025-03-21
CMP-00043,2024-11-01,2024-25,ST-009,-31.99399,116.19941,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,M. Ahmed,data_generator,2024-11-01
CMP-00044,2025-04-07,2024-25,,-32.12784,115.60621,Standing water on property,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,R. Patel,data_generator,2025-04-07
CMP-00045,2025-04-25,2024-25,,-31.97926,115.9644,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,T. Singh,data_generator,2025-04-25
CMP-00046,2024-12-31,2024-25,,-31.93742,115.53289,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,K. Wallace,data_generator,2024-12-31
CMP-00047,2025-03-22,2024-25,ST-007,-31.77867,116.32076,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,S. O'Connell,data_generator,2025-03-22
CMP-00048,2025-04-04,2024-25,,-32.11125,116.18751,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,M. Ahmed,data_generator,2025-04-04
CMP-00049,2025-03-26,2024-25,ST-006,-32.16375,115.87005,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,T. Singh,data_generator,2025-03-26
CMP-00050,2025-10-25,2025-26,,-32.06707,115.53584,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,T. Singh,data_generator,2025-10-25
CMP-00051,2025-10-11,2025-26,,-31.99079,115.96116,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,M. Ahmed,data_generator,2025-10-11
CMP-00052,2025-10-09,2025-26,,-31.82364,115.65537,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,M. Ahmed,data_generator,2025-10-09
CMP-00053,2025-10-07,2025-26,ST-002,-31.61706,116.13503,General enquiry,Resident-reported mosquito nuisance (sample description).,Site Inspected,Inspection scheduled,T. Singh,data_generator,2025-10-07
CMP-00054,2025-10-30,2025-26,,-32.0206,116.25245,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,R. Patel,data_generator,2025-10-30
CMP-00055,2025-11-20,2025-26,ST-007,-31.77867,116.32076,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Under Investigation,Inspection scheduled,M. Ahmed,data_generator,2025-11-20
CMP-00056,2025-12-02,2025-26,ST-004,,,General enquiry,Resident-reported mosquito nuisance (sample description).,Site Inspected,Inspection scheduled,K. Wallace,data_generator,2025-12-02
CMP-00057,2025-11-26,2025-26,ST-022,-31.79818,115.85443,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,K. Wallace,data_generator,2025-11-26
CMP-00058,2025-10-01,2025-26,ST-022,-31.79818,115.85443,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,S. O'Connell,data_generator,2025-10-01
CMP-00059,2025-11-22,2025-26,,-32.11888,115.84728,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,S. O'Connell,data_generator,2025-11-22
CMP-00060,2025-12-17,2025-26,ST-002,-31.61706,116.13503,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,J. Nguyen,data_generator,2025-12-17
CMP-00061,2025-10-22,2025-26,ST-006,-32.16375,115.87005,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Under Investigation,Inspection scheduled,J. Nguyen,data_generator,2025-10-22
CMP-00062,2025-12-11,2025-26,,-31.84594,115.8359,Standing water on property,Resident-reported mosquito nuisance (sample description).,Under Investigation,Inspection scheduled,J. Nguyen,data_generator,2025-12-11
CMP-00063,2026-01-13,2025-26,,-32.01488,116.17297,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,S. O'Connell,data_generator,2026-01-13
CMP-00064,2025-12-20,2025-26,ST-009,-31.99399,116.19941,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,T. Singh,data_generator,2025-12-20
CMP-00065,2025-10-12,2025-26,ST-001,-31.75823,115.84499,Standing water on property,Resident-reported mosquito nuisance (sample description).,Received,Inspection scheduled,S. O'Connell,data_generator,2025-10-12
CMP-00066,2026-01-23,2025-26,ST-003,-32.04044,116.28409,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Received,Inspection scheduled,K. Wallace,data_generator,2026-01-23
CMP-00067,2025-11-16,2025-26,ST-006,-32.16375,115.87005,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,R. Patel,data_generator,2025-11-16
CMP-00068,2025-11-28,2025-26,ST-007,-31.77867,116.32076,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,K. Wallace,data_generator,2025-11-28
CMP-00069,2026-01-18,2025-26,ST-009,-31.99399,116.19941,Biting nuisance,Resident-reported mosquito nuisance (sample description).,Site Inspected,Inspection scheduled,T. Singh,data_generator,2026-01-18
CMP-00070,2025-11-01,2025-26,ST-004,,,Suspected breeding site,Resident-reported mosquito nuisance (sample description).,Under Investigation,Inspection scheduled,T. Singh,data_generator,2025-11-01
CMP-00071,2025-12-21,2025-26,ST-004,,,General enquiry,Resident-reported mosquito nuisance (sample description).,Closed,Breeding site identified and treated,M. Ahmed,data_generator,2025-12-21
CMP-00072,2025-12-17,2025-26,ST-006,-32.16375,115.87005,Swarming/adult numbers,Resident-reported mosquito nuisance (sample description).,Closed,No breeding found,K. Wallace,data_generator,2025-12-17
CMP-00073,2026-01-18,2025-26,ST-022,-31.79818,115.85443,Standing water on property,Resident-reported mosquito nuisance (sample description).,Received,Inspection scheduled,S. O'Connell,data_generator,2026-01-18
CMP-00074,2025-10-05,2025-26,ST-004,,,Standing water on property,Resident-reported mosquito nuisance (sample description).,Closed,Referred to property owner,M. Ahmed,data_generator,2025-10-05
