Result_ID,Event_ID,Species_Code,Number_Collected,Notes
RES-000068,EVT-00027,CULANN,1,
RES-000069,EVT-00028,AEDVIG,2,
RES-000070,EVT-00028,AEDCAM,1,
RES-000071,EVT-00028,ANOANN,1,
RES-000072,EVT-00029,AEDVIG,1,
RES-000073,EVT-00029,ANOANN,1,
RES-000074,EVT-00034,CULANN,2,
RES-000075,EVT-00035,AEDCAM,1,
RES-000076,EVT-00035,,1,
RES-000077,EVT-00035,ANOANN,1,
RES-000078,EVT-00036,AEDNOT,1,
RES-000079,EVT-00036,AEDVIG,2,
RES-000080,EVT-00036,CULANN,1,
RES-000081,EVT-00036,CULQUI,3,
RES-000082,EVT-00037,AEDNOT,1,
RES-000083,EVT-00037,CULQUI,3,
RES-000084,EVT-00038,AEDNOT,1,
RES-000085,EVT-00038,AEDVIG,1,
RES-000086,EVT-00038,AEDCAM,1,
RES-000087,EVT-00038,CULQUI,3,
RES-000088,EVT-00039,AEDVIG,1,
RES-000089,EVT-00039,CULANN,2,
RES-000090,EVT-00039,CULQUI,1,
RES-000091,EVT-00040,AEDVIG,2,
RES-000092,EVT-00040,CULQUI,2,
RES-000093,EVT-00041,CULANN,3,
RES-000094,EVT-00041,CULQUI,2,
RES-000095,EVT-00041,ANOANN,1,
RES-000096,EVT-00042,AEDVIG,3,
RES-000097,EVT-00042,AEDCAM,1,
RES-000098,EVT-00042,CULQUI,2,
RES-000099,EVT-00043,AEDNOT,1,
RES-000100,EVT-00043,AEDCAM,2,
RES-000101,EVT-00043,CULANN,1,
RES-000102,EVT-00043,CULQUI,4,
RES-000103,EVT-00044,AEDNOT,1,
RES-000104,EVT-00044,AEDCAM,1,
RES-000105,EVT-00044,CULANN,2,
RES-000106,EVT-00044,CULQUI,4,
RES-000107,EVT-00045,AEDNOT,1,
RES-000108,EVT-00045,AEDVIG,2,
RES-000109,EVT-00045,AEDCAM,2,
RES-000110,EVT-00045,CULANN,4,
RES-000111,EVT-00046,AEDVIG,1,
RES-000112,EVT-00046,AEDCAM,1,
RES-000113,EVT-00046,CULANN,1,
RES-000114,EVT-00046,CULQUI,2,
RES-000115,EVT-00047,AEDVIG,1,
RES-000116,EVT-00047,CULANN,2,
RES-000117,EVT-00047,CULQUI,4,
RES-000118,EVT-00048,AEDNOT,1,
RES-000119,EVT-00048,AEDVIG,2,
RES-000120,EVT-00048,CULANN,1,
RES-000121,EVT-00048,CULQUI,3,
RES-000122,EVT-00049,AEDNOT,2,
RES-000123,EVT-00049,AEDVIG,1,
RES-000124,EVT-00049,CULQUI,1,
RES-000125,EVT-00049,ANOANN,1,
RES-000126,EVT-00050,AEDNOT,1,
RES-000127,EVT-00050,AEDCAM,1,
RES-000128,EVT-00050,CULANN,1,
RES-000129,EVT-00050,CULQUI,1,
RES-000130,EVT-00052,AEDNOT,1,
RES-000131,EVT-00052,AEDVIG,1,
RES-000132,EVT-00052,CULANN,2,
RES-000133,EVT-00052,CULQUI,2,
RES-000134,EVT-00053,AEDNOT,1,
RES-000135,EVT-00053,AEDVIG,1,
RES-000136,EVT-00053,AEDCAM,1,
RES-000137,EVT-00053,CULANN,1,
RES-000138,EVT-00054,AEDVIG,4,
RES-000139,EVT-00054,CULQUI,4,
RES-000140,EVT-00055,AEDNOT,3,
RES-000141,EVT-00055,AEDVIG,2,
RES-000142,EVT-00055,CULANN,1,
RES-000143,EVT-00055,CULQUI,1,
RES-000144,EVT-00056,AEDCAM,1,
RES-000145,EVT-00056,CULANN,1,
RES-000146,EVT-00056,CULQUI,1,
RES-000147,EVT-00057,CULQUI,2,
RES-000148,EVT-00059,CULQUI,1,
RES-000149,EVT-00060,CULANN,1,
RES-000150,EVT-00062,CULANN,1,
RES-000151,EVT-00063,AEDNOT,1,
RES-000152,EVT-00063,CULQUI,2,
RES-000153,EVT-00064,AEDCAM,1,
RES-000154,EVT-00064,CULANN,1,
RES-000155,EVT-00066,AEDVIG,1,
RES-000156,EVT-00066,CULANN,2,
RES-000157,EVT-00066,CULQUI,2,
RES-000158,EVT-00066,ANOANN,1,
RES-000159,EVT-00067,CULANN,1,
RES-000160,EVT-00067,CULQUI,2,
RES-000161,EVT-00068,AEDVIG,1,
RES-000162,EVT-00068,CULANN,2,
RES-000163,EVT-00068,CULQUI,3,
RES-000164,EVT-00069,AEDNOT,2,
RES-000165,EVT-00069,AEDVIG,1,
RES-000166,EVT-00069,AEDCAM,1,
RES-000167,EVT-00069,CULQUI,2,
RES-000168,EVT-00070,AEDVIG,1,
RES-000169,EVT-00070,CULANN,2,
RES-000170,EVT-00070,CULQUI,1,
RES-000171,EVT-00071,AEDNOT,2,
RES-000172,EVT-00071,AEDVIG,2,
RES-000173,EVT-00071,CULANN,1,
RES-000174,EVT-00071,CULQUI,4,
RES-000175,EVT-00072,CULANN,1,
RES-000176,EVT-00072,CULQUI,3,
RES-000177,EVT-00073,AEDVIG,5,
RES-000178,EVT-00073,CULANN,1,
RES-000179,EVT-00073,CULQUI,5,
RES-000180,EVT-00074,AEDNOT,1,
RES-000181,EVT-00074,AEDVIG,1,
RES-000182,EVT-00074,AEDCAM,1,
RES-000183,EVT-00074,CULANN,1,
RES-000184,EVT-00074,CULQUI,4,
RES-000185,EVT-00075,AEDNOT,1,
RES-000186,EVT-00075,AEDCAM,1,
RES-000187,EVT-00075,CULANN,1,
RES-000188,EVT-00075,CULQUI,2,
RES-000189,EVT-00076,AEDVIG,1,
RES-000190,EVT-00076,CULANN,4,
RES-000191,EVT-00076,CULQUI,5,
RES-000192,EVT-00077,AEDNOT,1,
RES-000193,EVT-00077,AEDVIG,2,
RES-000194,EVT-00077,CULQUI,2,
RES-000195,EVT-00077,ANOANN,1,
RES-000196,EVT-00078,AEDNOT,1,
RES-000197,EVT-00078,CULANN,1,
RES-000198,EVT-00078,CULQUI,4,
RES-000199,EVT-00079,AEDNOT,1,
RES-000200,EVT-00079,AEDVIG,2,
RES-000201,EVT-00079,CULANN,3,
RES-000202,EVT-00079,CULQUI,2,
RES-000203,EVT-00079,ANOANN,1,
RES-000204,EVT-00080,AEDCAM,1,
RES-000205,EVT-00080,CULANN,1,
RES-000206,EVT-00080,CULQUI,2,
RES-000207,EVT-00081,AEDNOT,1,
RES-000208,EVT-00081,AEDVIG,1,
RES-000209,EVT-00081,CULANN,2,
RES-000210,EVT-00081,CULQUI,4,
RES-000211,EVT-00082,AEDNOT,2,
RES-000212,EVT-00082,AEDVIG,1,
RES-000213,EVT-00082,CULANN,1,
RES-000214,EVT-00082,CULQUI,4,
RES-000215,EVT-00083,AEDNOT,1,
RES-000216,EVT-00083,AEDCAM,2,
RES-000217,EVT-00083,CULQUI,4,
RES-000218,EVT-00084,AEDNOT,3,
RES-000219,EVT-00084,CULANN,3,
RES-000220,EVT-00084,CULQUI,2,
RES-000221,EVT-00085,CULQUI,3,
RES-000222,EVT-00086,AEDNOT,1,
RES-000223,EVT-00086,CULQUI,1,
RES-000224,EVT-00087,CULQUI,2,
RES-000225,EVT-00087,ANOANN,1,
RES-000226,EVT-00089,CULANN,1,
RES-000227,EVT-00089,CULQUI,1,
RES-000228,EVT-00090,CULQUI,1,
RES-000229,EVT-00092,CULANN,1,
RES-000230,EVT-00093,CULANN,4,
RES-000231,EVT-00095,AEDNOT,1,
RES-000232,EVT-00095,AEDVIG,1,
RES-000233,EVT-00095,CULANN,2,
RES-000234,EVT-00096,AEDNOT,2,
RES-000235,EVT-00096,CULANN,2,
RES-000236,EVT-00096,CULQUI,1,
RES-000237,EVT-00097,CULANN,2,
RES-000238,EVT-00097,CULQUI,2,
RES-000239,EVT-00098,AEDVIG,3,
RES-000240,EVT-00098,CULANN,2,
RES-000241,EVT-00099,AEDNOT,1,
RES-000242,EVT-00099,AEDCAM,1,
RES-000243,EVT-00099,CULANN,2,
RES-000244,EVT-00100,AEDCAM,2,
RES-000245,EVT-00100,CULANN,6,
RES-000246,EVT-00100,CULQUI,2,
RES-000247,EVT-00100,ANOANN,1,
RES-000248,EVT-00101,AEDNOT,1,
RES-000249,EVT-00101,AEDVIG,2,
RES-000250,EVT-00101,CULANN,6,
RES-000251,EVT-00101,CULQUI,1,
RES-000252,EVT-00102,AEDVIG,1,
RES-000253,EVT-00102,AEDCAM,1,
RES-000254,EVT-00102,CULANN,3,
RES-000255,EVT-00102,CULQUI,1,
RES-000256,EVT-00104,AEDNOT,1,
RES-000257,EVT-00104,AEDVIG,1,
RES-000258,EVT-00104,CULANN,9,
RES-000259,EVT-00105,AEDVIG,3,
RES-000260,EVT-00105,AEDCAM,1,
RES-000261,EVT-00105,CULANN,4,
RES-000262,EVT-00105,CULQUI,2,
RES-000263,EVT-00106,CULANN,2,
RES-000264,EVT-00109,CULANN,5,
RES-000265,EVT-00109,CULQUI,3,
RES-000266,EVT-00111,CULANN,3,
RES-000267,EVT-00112,AEDNOT,1,
RES-000268,EVT-00112,AEDVIG,2,
RES-000269,EVT-00112,CULANN,5,
RES-000270,EVT-00113,AEDVIG,1,
RES-000271,EVT-00113,AEDCAM,1,
RES-000272,EVT-00113,CULANN,3,
RES-000273,EVT-00113,ANOANN,1,
RES-000274,EVT-00114,AEDNOT,1,
RES-000275,EVT-00114,AEDVIG,1,
RES-000276,EVT-00114,CULANN,3,
RES-000277,EVT-00115,AEDNOT,1,
RES-000278,EVT-00115,AEDVIG,4,
RES-000279,EVT-00115,CULANN,1,
RES-000280,EVT-00115,CULQUI,2,
RES-000281,EVT-00115,ANOANN,1,
RES-000282,EVT-00116,CULANN,2,
RES-000283,EVT-00116,CULQUI,1,
RES-000284,EVT-00117,AEDVIG,1,
RES-000285,EVT-00117,CULANN,2,
RES-000286,EVT-00119,CULANN,1,
RES-000287,EVT-00121,AEDVIG,1,
RES-000288,EVT-00121,AEDCAM,1,
RES-000289,EVT-00123,AEDVIG,2,
RES-000290,EVT-00123,AEDCAM,1,
RES-000291,EVT-00123,CULANN,1,
RES-000292,EVT-00123,ANOANN,1,
RES-000293,EVT-00124,AEDNOT,1,
RES-000294,EVT-00124,AEDVIG,2,
RES-000295,EVT-00124,AEDCAM,1,
RES-000296,EVT-00124,CULANN,1,
RES-000297,EVT-00125,AEDNOT,3,
RES-000298,EVT-00125,AEDVIG,8,
RES-000299,EVT-00125,CULQUI,4,
RES-000300,EVT-00126,AEDNOT,1,
RES-000301,EVT-00126,AEDVIG,6,
RES-000302,EVT-00126,CULANN,2,
RES-000303,EVT-00126,CULQUI,4,
RES-000304,EVT-00127,AEDNOT,2,
RES-000305,EVT-00127,AEDVIG,6,
RES-000306,EVT-00127,CULANN,1,
RES-000307,EVT-00127,ANOANN,1,
RES-000308,EVT-00128,AEDNOT,1,
RES-000309,EVT-00128,AEDVIG,9,
RES-000310,EVT-00128,AEDCAM,1,
RES-000311,EVT-00128,CULANN,2,
RES-000312,EVT-00128,CULQUI,2,
RES-000313,EVT-00129,AEDNOT,2,
RES-000314,EVT-00129,AEDVIG,7,
RES-000315,EVT-00129,AEDCAM,1,
RES-000316,EVT-00129,CULANN,5,
RES-000317,EVT-00129,CULQUI,1,
RES-000318,EVT-00130,AEDNOT,1,
RES-000319,EVT-00130,AEDVIG,10,
RES-000320,EVT-00130,AEDCAM,2,
RES-000321,EVT-00130,CULANN,2,
RES-000322,EVT-00130,CULQUI,1,
RES-000323,EVT-00131,AEDNOT,2,
RES-000324,EVT-00131,AEDVIG,8,
RES-000325,EVT-00131,CULANN,3,
RES-000326,EVT-00131,CULQUI,4,
RES-000327,EVT-00131,ANOANN,2,
RES-000328,EVT-00132,AEDNOT,2,
RES-000329,EVT-00132,AEDVIG,11,
RES-000330,EVT-00132,AEDCAM,2,
RES-000331,EVT-00132,CULANN,4,
RES-000332,EVT-00132,CULQUI,4,
RES-000333,EVT-00133,AEDNOT,1,
RES-000334,EVT-00133,AEDVIG,16,
RES-000335,EVT-00133,AEDCAM,5,
RES-000336,EVT-00133,CULANN,5,
RES-000337,EVT-00133,CULQUI,2,
RES-000338,EVT-00133,ANOANN,4,
RES-000339,EVT-00134,AEDNOT,3,
RES-000340,EVT-00134,AEDVIG,15,
RES-000341,EVT-00134,CULANN,6,
RES-000342,EVT-00134,CULQUI,3,
RES-000343,EVT-00134,ANOANN,2,
RES-000344,EVT-00135,AEDNOT,3,
RES-000345,EVT-00135,AEDVIG,14,
RES-000346,EVT-00135,CULANN,3,
RES-000347,EVT-00135,CULQUI,4,
RES-000348,EVT-00136,AEDNOT,3,
RES-000349,EVT-00136,AEDVIG,6,
RES-000350,EVT-00136,CULANN,3,
RES-000351,EVT-00136,CULQUI,3,
RES-000352,EVT-00137,AEDNOT,4,
RES-000353,EVT-00137,AEDVIG,20,
RES-000354,EVT-00137,AEDCAM,1,
RES-000355,EVT-00137,CULANN,5,
RES-000356,EVT-00137,CULQUI,3,
RES-000357,EVT-00137,ANOANN,1,
RES-000358,EVT-00138,AEDVIG,5,
RES-000359,EVT-00138,AEDCAM,1,
RES-000360,EVT-00138,ANOANN,1,
RES-000361,EVT-00139,AEDNOT,3,
RES-000362,EVT-00139,AEDVIG,16,
RES-000363,EVT-00139,AEDCAM,1,
RES-000364,EVT-00139,CULANN,3,
RES-000365,EVT-00139,CULQUI,4,
RES-000366,EVT-00139,ANOANN,1,
RES-000367,EVT-00140,AEDNOT,1,
RES-000368,EVT-00140,AEDVIG,12,
RES-000369,EVT-00140,AEDCAM,1,
RES-000370,EVT-00140,CULANN,4,
RES-000371,EVT-00140,CULQUI,1,
RES-000372,EVT-00141,AEDNOT,3,
RES-000373,EVT-00141,AEDVIG,7,
RES-000374,EVT-00141,CULANN,3,
RES-000375,EVT-00141,CULQUI,2,
RES-000376,EVT-00141,ANOANN,1,
RES-000377,EVT-00142,AEDVIG,8,
RES-000378,EVT-00142,AEDCAM,1,
RES-000379,EVT-00142,CULANN,4,
RES-000380,EVT-00142,CULQUI,2,
RES-000381,EVT-00143,AEDNOT,1,
RES-000382,EVT-00143,AEDVIG,10,
RES-000383,EVT-00143,AEDCAM,4,
RES-000384,EVT-00143,CULANN,6,
RES-000385,EVT-00143,CULQUI,2,
RES-000386,EVT-00143,ANOANN,2,
RES-000387,EVT-00144,AEDNOT,2,
RES-000388,EVT-00144,AEDVIG,8,
RES-000389,EVT-00144,AEDCAM,1,
RES-000390,EVT-00144,CULANN,2,
RES-000391,EVT-00144,CULQUI,1,
RES-000392,EVT-00145,AEDNOT,2,
RES-000393,EVT-00145,AEDVIG,9,
RES-000394,EVT-00145,AEDCAM,3,
RES-000395,EVT-00145,CULQUI,1,
RES-000396,EVT-00146,AEDNOT,1,
RES-000397,EVT-00146,AEDVIG,7,
RES-000398,EVT-00146,AEDCAM,1,
RES-000399,EVT-00146,CULQUI,1,
RES-000400,EVT-00147,AEDVIG,3,
RES-000401,EVT-00147,AEDCAM,1,
RES-000402,EVT-00147,CULANN,2,
RES-000403,EVT-00147,CULQUI,3,
RES-000404,EVT-00148,AEDNOT,2,
RES-000405,EVT-00148,AEDVIG,2,
RES-000406,EVT-00148,AEDCAM,1,
RES-000407,EVT-00148,CULQUI,1,
RES-000408,EVT-00149,AEDVIG,5,
RES-000409,EVT-00149,AEDCAM,1,
RES-000410,EVT-00149,CULANN,1,
RES-000411,EVT-00149,CULQUI,2,
RES-000412,EVT-00150,AEDNOT,1,
RES-000413,EVT-00150,CULANN,1,
RES-000414,EVT-00153,AEDVIG,1,
RES-000415,EVT-00153,CULANN,1,
RES-000416,EVT-00154,AEDVIG,1,
RES-000417,EVT-00154,AEDCAM,1,
RES-000418,EVT-00154,CULANN,1,
RES-000419,EVT-00155,AEDVIG,1,
RES-000420,EVT-00155,AEDCAM,1,
RES-000421,EVT-00156,AEDVIG,1,
RES-000422,EVT-00156,AEDCAM,1,
RES-000423,EVT-00157,AEDNOT,1,
RES-000424,EVT-00157,AEDCAM,1,
RES-000425,EVT-00157,CULANN,1,
RES-000426,EVT-00158,AEDNOT,1,
RES-000427,EVT-00158,AEDCAM,4,
RES-000428,EVT-00158,CULQUI,1,
RES-000429,EVT-00159,AEDNOT,2,
RES-000430,EVT-00159,AEDVIG,1,
RES-000431,EVT-00159,AEDCAM,5,
RES-000432,EVT-00159,CULANN,1,
RES-000433,EVT-00159,CULQUI,1,
RES-000434,EVT-00162,AEDNOT,1,
RES-000435,EVT-00162,AEDVIG,1,
RES-000436,EVT-00162,AEDCAM,1,
RES-000437,EVT-00162,ANOANN,1,
RES-000438,EVT-00164,AEDNOT,1,
RES-000439,EVT-00164,AEDVIG,1,
RES-000440,EVT-00165,AEDNOT,2,
RES-000441,EVT-00165,AEDVIG,3,
RES-000442,EVT-00165,AEDCAM,3,
RES-000443,EVT-00165,CULANN,1,
RES-000444,EVT-00165,CULQUI,2,
RES-000445,EVT-00165,ANOANN,1,
RES-000446,EVT-00167,AEDNOT,2,
RES-000447,EVT-00167,AEDVIG,1,
RES-000448,EVT-00167,AEDCAM,1,
RES-000449,EVT-00167,CULANN,1,
RES-000450,EVT-00168,AEDNOT,1,
RES-000451,EVT-00168,AEDVIG,1,
RES-000452,EVT-00168,AEDCAM,2,
RES-000453,EVT-00168,CULANN,3,
RES-000454,EVT-00169,AEDNOT,2,
RES-000455,EVT-00169,AEDVIG,2,
RES-000456,EVT-00169,AEDCAM,4,
RES-000457,EVT-00169,CULANN,1,
RES-000458,EVT-00169,CULQUI,1,
RES-000459,EVT-00169,ANOANN,1,
RES-000460,EVT-00170,AEDVIG,3,
RES-000461,EVT-00170,AEDCAM,3,
RES-000462,EVT-00170,CULANN,2,
RES-000463,EVT-00170,CULQUI,1,
RES-000464,EVT-00170,ANOANN,1,
RES-000465,EVT-00171,AEDNOT,1,
RES-000466,EVT-00171,AEDVIG,1,
RES-000467,EVT-00171,AEDCAM,3,
RES-000468,EVT-00171,CULANN,1,
RES-000469,EVT-00171,CULQUI,1,
RES-000470,EVT-00172,AEDVIG,1,
RES-000471,EVT-00172,AEDCAM,4,
RES-000472,EVT-00172,CULANN,1,
RES-000473,EVT-00172,CULQUI,1,
RES-000474,EVT-00173,AEDCAM,2,
RES-000475,EVT-00173,CULANN,2,
RES-000476,EVT-00173,CULQUI,1,
RES-000477,EVT-00174,AEDNOT,1,
RES-000478,EVT-00174,AEDVIG,1,
RES-000479,EVT-00174,AEDCAM,1,
RES-000480,EVT-00175,AEDCAM,3,
RES-000481,EVT-00176,AEDVIG,2,
RES-000482,EVT-00176,CULANN,1,
RES-000483,EVT-00176,CULQUI,1,
RES-000484,EVT-00177,AEDNOT,1,
RES-000485,EVT-00177,AEDCAM,1,
RES-000486,EVT-00177,CULANN,2,
RES-000487,EVT-00178,AEDCAM,1,
RES-000488,EVT-00179,AEDVIG,2,
RES-000489,EVT-00179,AEDCAM,1,
RES-000490,EVT-00181,AEDCAM,1,
RES-000491,EVT-00181,CULANN,2,
RES-000492,EVT-00182,AEDNOT,2,
RES-000493,EVT-00182,CULANN,2,
RES-000494,EVT-00183,AEDNOT,1,
RES-000495,EVT-00183,CULANN,5,
RES-000496,EVT-00184,AEDNOT,1,
RES-000497,EVT-00184,AEDVIG,1,
RES-000498,EVT-00184,CULANN,3,
RES-000499,EVT-00184,CULQUI,1,
RES-000500,EVT-00186,AEDVIG,3,
RES-000501,EVT-00186,CULANN,5,
RES-000502,EVT-00186,CULQUI,1,
RES-000503,EVT-00186,ANOANN,1,
RES-000504,EVT-00187,AEDNOT,4,
RES-000505,EVT-00187,AEDVIG,4,
RES-000506,EVT-00187,AEDCAM,1,
RES-000507,EVT-00187,CULANN,12,
RES-000508,EVT-00187,CULQUI,3,
RES-000509,EVT-00187,ANOANN,1,
RES-000510,EVT-00188,AEDNOT,3,
RES-000511,EVT-00188,AEDVIG,3,
RES-000512,EVT-00188,CULANN,12,
RES-000513,EVT-00188,ANOANN,2,
RES-000514,EVT-00189,AEDNOT,2,
RES-000515,EVT-00189,AEDVIG,5,
RES-000516,EVT-00189,AEDCAM,3,
RES-000517,EVT-00189,CULANN,9,
RES-000518,EVT-00189,CULQUI,3,
RES-000519,EVT-00189,ANOANN,2,
RES-000520,EVT-00190,AEDVIG,1,
RES-000521,EVT-00190,AEDCAM,1,
RES-000522,EVT-00190,CULANN,8,
RES-000523,EVT-00190,CULQUI,1,
RES-000524,EVT-00190,ANOANN,2,
RES-000525,EVT-00191,AEDVIG,6,
RES-000526,EVT-00191,AEDCAM,1,
RES-000527,EVT-00191,CULANN,16,
RES-000528,EVT-00191,CULQUI,1,
RES-000529,EVT-00192,AEDNOT,3,
RES-000530,EVT-00192,AEDVIG,5,
RES-000531,EVT-00192,CULANN,8,
RES-000532,EVT-00193,AEDNOT,1,
RES-000533,EVT-00193,AEDVIG,1,
RES-000534,EVT-00193,AEDCAM,6,
RES-000535,EVT-00193,CULANN,9,
RES-000536,EVT-00193,CULQUI,2,
RES-000537,EVT-00193,ANOANN,2,
RES-000538,EVT-00194,AEDNOT,2,
RES-000539,EVT-00194,AEDCAM,3,
RES-000540,EVT-00194,CULANN,7,
RES-000541,EVT-00194,CULQUI,5,
RES-000542,EVT-00194,ANOANN,2,
RES-000543,EVT-00195,AEDNOT,2,
RES-000544,EVT-00195,AEDVIG,3,
RES-000545,EVT-00195,AEDCAM,1,
RES-000546,EVT-00195,CULANN,7,
RES-000547,EVT-00195,CULQUI,3,
RES-000548,EVT-00198,AEDNOT,1,
RES-000549,EVT-00198,AEDVIG,5,
RES-000550,EVT-00198,AEDCAM,2,
RES-000551,EVT-00198,CULANN,12,
RES-000552,EVT-00198,CULQUI,4,
RES-000553,EVT-00198,ANOANN,1,
RES-000554,EVT-00199,AEDVIG,1,
RES-000555,EVT-00199,AEDCAM,1,
RES-000556,EVT-00199,CULANN,11,
RES-000557,EVT-00199,CULQUI,4,
RES-000558,EVT-00199,ANOANN,1,
RES-000559,EVT-00200,AEDNOT,4,
RES-000560,EVT-00200,AEDVIG,2,
RES-000561,EVT-00200,CULANN,11,
RES-000562,EVT-00200,CULQUI,3,
RES-000563,EVT-00201,AEDNOT,1,
RES-000564,EVT-00201,AEDVIG,3,
RES-000565,EVT-00201,CULANN,6,
RES-000566,EVT-00202,AEDNOT,2,
RES-000567,EVT-00202,AEDVIG,4,
RES-000568,EVT-00202,CULANN,9,
RES-000569,EVT-00202,CULQUI,3,
RES-000570,EVT-00203,AEDVIG,3,
RES-000571,EVT-00203,AEDCAM,1,
RES-000572,EVT-00203,CULANN,7,
RES-000573,EVT-00203,CULQUI,4,
RES-000574,EVT-00203,ANOANN,1,
RES-000575,EVT-00204,AEDNOT,3,
RES-000576,EVT-00204,CULANN,10,
RES-000577,EVT-00204,CULQUI,1,
RES-000578,EVT-00204,ANOANN,1,
RES-000579,EVT-00205,AEDVIG,3,
RES-000580,EVT-00205,CULANN,8,
RES-000581,EVT-00205,CULQUI,1,
RES-000582,EVT-00206,AEDVIG,5,
RES-000583,EVT-00206,CULANN,5,
RES-000584,EVT-00207,AEDNOT,1,
RES-000585,EVT-00207,AEDVIG,1,
RES-000586,EVT-00207,AEDCAM,1,
RES-000587,EVT-00207,CULANN,2,
RES-000588,EVT-00207,CULQUI,1,
RES-000589,EVT-00208,AEDVIG,4,
RES-000590,EVT-00208,AEDCAM,1,
RES-000591,EVT-00208,CULANN,2,
RES-000592,EVT-00208,CULQUI,1,
RES-000593,EVT-00209,AEDNOT,1,
RES-000594,EVT-00209,AEDVIG,4,
RES-000595,EVT-00209,AEDCAM,1,
RES-000596,EVT-00209,CULANN,2,
RES-000597,EVT-00210,AEDVIG,1,
RES-000598,EVT-00211,CULQUI,1,
RES-000599,EVT-00212,AEDVIG,1,
RES-000600,EVT-00213,CULANN,3,
RES-000601,EVT-00215,AEDVIG,1,
RES-000602,EVT-00215,CULANN,3,
RES-000603,EVT-00216,CULANN,2,
RES-000604,EVT-00217,AEDVIG,1,
RES-000605,EVT-00217,AEDCAM,1,
RES-000606,EVT-00217,CULANN,2,
RES-000607,EVT-00217,CULQUI,1,
RES-000608,EVT-00218,AEDNOT,1,
RES-000609,EVT-00218,AEDVIG,2,
RES-000610,EVT-00219,AEDNOT,1,
RES-000611,EVT-00219,AEDVIG,1,
RES-000612,EVT-00219,AEDCAM,1,
RES-000613,EVT-00219,CULANN,4,
RES-000614,EVT-00222,CULANN,1,
RES-000615,EVT-00222,CULQUI,1,
RES-000616,EVT-00223,AEDNOT,2,
RES-000617,EVT-00223,AEDVIG,3,
RES-000618,EVT-00223,AEDCAM,1,
RES-000619,EVT-00223,CULANN,5,
RES-000620,EVT-00223,ANOANN,1,
RES-000621,EVT-00224,AEDVIG,3,
RES-000622,EVT-00224,AEDCAM,2,
RES-000623,EVT-00224,CULANN,3,
RES-000624,EVT-00225,AEDNOT,2,
RES-000625,EVT-00225,AEDVIG,2,
